week,min_cell_voltage_mean,pack_voltage_mean,current_std,soc_sum,pack_voltage_sum,min_cell_voltage_sum,max_cell_voltage_sum,voltage_diff_mean,capacity
0,3.948293452,356.3380484,8.907624646,295906.8,1579179.7,17498.362,17610.959,0.025465773,132.2317325
1,3.857020866,348.056703,4.828922698,612749.2,3669991.9,40671.964,40906.81,0.023710737,133.0841579
2,3.945238625,356.1180202,9.592705091,646622.4,3490800.5,38675.18,38920.737,0.025057042,133.540684
3,3.961967878,357.7122352,8.703684531,780442.8,4059215.9,44960.318,45269.595,0.026662522,133.540684
4,3.956940213,357.2979175,8.934950493,585138.4,2986840.3,33077.204,33318.548,0.028729083,133.540684
5,3.863863167,348.8163308,8.410595225,522250.4,3137322.3,34751.897,34976.333,0.026026155,132.7753398
6,3.917300558,353.7770354,10.06626314,720834.8,3950962.8,43748.982,44056.237,0.028047392,132.7753398
7,3.90311354,352.5125454,10.29288268,185022.8,1022964.8,11326.717,11407.165,0.028441492,132.7413885
8,3.949010403,356.7246603,8.113775956,374610.0,1951158.4,21600.411,21764.053,0.030194106,132.5994213
9,3.942703092,356.2206051,8.455890828,215842.4,1134430.9,12556.318,12654.713,0.03089243,132.1519457
10,3.898768782,352.2390379,8.981374102,629478.4,3566944.9,39483.775,39781.859,0.030413094,131.6461334
11,3.865307484,349.2382042,6.394013273,570095.6,3306381.8,36595.289,36871.805,0.029103335,131.4866888
12,3.867828861,349.5549602,8.686994746,550967.6,3156169.6,34923.679,35202.291,0.03125739,131.4527131
13,3.886415908,351.3959344,3.967336315,581102.0,3331378.6,36848.867,37169.852,0.035670223,131.411246
14,3.913370784,353.557502,5.13265068,655404.8,3678487.1,40723.069,41070.109,0.035640579,131.3807883
15,3.879572392,350.4745553,5.313588967,626040.0,3591381.4,39757.679,40078.032,0.032843735,130.786372
16,3.903863037,352.8378935,7.147070313,558340.0,3096548.4,34262.891,34578.058,0.036354448,130.664802
17,3.888659254,351.5081855,7.066158448,539620.8,3088416.0,34168.413,34473.681,0.035437683,130.0914052
18,3.898111457,352.3916136,8.657790052,556555.2,3308925.9,36613.123,36903.284,0.03353003,130.0645823
19,3.938096996,355.8335422,7.536703404,690395.2,3706349.9,41019.1,41357.734,0.033082344,130.0645823
20,3.923695265,354.5641816,6.642546878,531351.6,2916330.2,32275.144,32540.291,0.032843626,129.8869816
21,3.855106547,348.3719037,6.775975098,443645.6,2683719.0,29700.002,29930.958,0.030347096,130.0201678
22,3.911047107,353.507086,8.596797613,547760.4,3088810.5,34174.215,34460.188,0.032811765,130.0201678
23,3.931050055,355.2273337,7.543391487,584522.4,3086406.9,34152.432,34440.052,0.033486641,129.8869816
